,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
3805.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
4606.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6703.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6112.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6709.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
8414.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6718.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
8416.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6806.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6114.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
3018.01,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
3006.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
4913.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
2715.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6121.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
7303.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
3017.02,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
7113.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
7504.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
6104.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
5305.02,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0
2912.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
6715.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
7106.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
2609.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
6116.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
8349.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
2522.01,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
6110.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
5502.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
7207.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
4406.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
3011.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
8408.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
6408.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
4212.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,1
3005.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,2
6118.0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,2
2516.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,1
6603.01,0.0,100.0,0.0,0.0,0,0,0,0,0,0,2
2602.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
5205.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
3018.02,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
6308.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
4912.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,2
7001.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,1
1906.01,0.0,99.9,0.0,0.0,0,0,0,0,0,0,1
6502.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,2
4904.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
5304.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,1
6305.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,2
2606.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
3817.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
6701.0,0.0,99.9,0.0,0.0,0,0,0,0,0,0,2
7109.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
4607.0,0.0,100.0,0.0,0.1,0,0,0,0,0,0,3
